,text,likes,retweets,replies,Year,lemmatized,polarity,subjectivity,polarity_text
2468,.@Disney is working with @nokia to step up its #360video game http://uploadvr.com/disney-partnering-nokia-create-behind-scenes-vr-content/ … #VRpic.twitter.com/cwcUaOvs2G,24,12,0,2016,disney working with nokia step up it 360video game uploadvr com disney partnering nokia create behind scene content vrpic twitter com cwcuaovs2g,-0.4,0.55,negative
5283,Nokia’s fall means the rise of startups in Finland http://tcrn.ch/1koxUx7 pic.twitter.com/zp1JdXSNG0,65,83,2,2015,nokia fall mean rise startup finland tcrn ch 1koxux7 pic twitter com zp1jdxsng0,-0.3125,0.6875,negative
8419,"-wendy with her iphone 6-
w: ""seulgi, where can i get the old snake game?""
s: ""u mean the...""
w: ""the one we used to play on nokia phones""",44,55,2,2015,wendy with her iphone 6 seulgi where can get old snake game mean one we used play nokia phone,-0.2041666666666667,0.4291666666666667,negative
13773,I think it's like slamming your Nokia flip phone closed.  https://twitter.com/tess_holliday/status/726898930412199936 …,22,10,0,2016,like slamming your nokia flip phone closed twitter com tess_holliday status 726898930412199936,-0.1,0.1,negative
14275,fridays show gonna be the first one since nokia jan.30th..been a min cant wait to fuck shit up with my boys,88,13,4,2016,friday show gonna be first one since nokia jan 30th been min cant wait fuck shit up with my boy,-0.11666666666666668,0.5777777777777778,negative
15123,#Healthtip from @Withings: what does it really mean when you have a #fever? It’s your body fighting back. http://nokia.ly/2dzomfA pic.twitter.com/lCZsZ0U6UZ,59,17,2,2016,healthtip from withings what doe really mean when you have fever your body fighting back nokia 2dzomfa pic twitter com lczsz0u6uz,-0.15625,0.34375,negative
17596,"Me: ""Did you hear about Vine shutting down?""
Dad (from his Nokia 3100): ""You still got that lesbian haircut?""",31,0,0,2016,me did you hear about vine shutting down dad from his nokia 3100 you got that lesbian haircut,-0.15555555555555559,0.2888888888888889,negative
18330,Did aliens leave behind this 2800-year-old Nokia? http://svn.tn/6014BbtyG pic.twitter.com/9j6pKxFVQP,48,7,0,2016,did alien leave behind this 2800 year old nokia svn tn 6014bbtyg pic twitter com 9j6pkxfvqp,-0.18333333333333335,0.5499999999999999,negative
20507,You don’t have to be afraid of the wild in #VR. Come a little closer.pic.twitter.com/9Y8itGTJwc,109,33,2,2016,you don t have be afraid wild come little closer pic twitter com 9y8itgtjwc,-0.22916666666666666,0.6,negative
21319,Video: Zack (JerryRigEverything) tried to destroy Nokia 2 but with no luck http://nokiamob.net/2017/12/22/video-zack-jerryrigeverything-tried-to-destroy-nokia-2-but-with-no-luck/ …pic.twitter.com/VoRjnMk94s,26,6,1,2017,video zack jerryrigeverything tried destroy nokia 2 but with no luck nokiamob net 2017 12 22 video zack jerryrigeverything tried destroy nokia 2 but with no luck pic twitter com vorjnmk94s,-0.13333333333333333,0.0,negative
21624,"flo is older than chyler, chyler has no excuse as to why her photos look like they were taken with a nokia trapped inside a brick",26,4,2,2018,flo older than chyler chyler ha no excuse a why her photo look like were taken with nokia trapped inside brick,-0.0027777777777777866,0.12777777777777777,negative
22924,"How would you kill a Lich who put their soul in a Nokia 3310?
#random #DnD #rpg",27,14,8,2017,how would you kill lich who put their soul nokia 3310 random dnd rpg,-0.5,0.5,negative
23674,People who argue that anti-trust was the reason Microsoft lost dominance  (which I think is high debatable) never seem to mention the parallel failure of Nokia,69,6,10,2017,people who argue that anti trust wa reason microsoft lost dominance which high debatable never seem mention parallel failure nokia,-0.05222222222222223,0.27999999999999997,negative
24499,For at least a decade no-one in America understood this. Contributed to Nokia's complacency. pic.twitter.com/7foECbrwSy,37,15,2,2017,at least decade no one america understood this contributed nokia complacency pic twitter com 7foecbrwsy,-0.3,0.4,negative
25205,"What if Nokia decided to make a count down. Maybe we're still going to get a Nokia 7,6,5...
#Nokia8pic.twitter.com/J15ipVOOLg",26,12,1,2017,what if nokia decided make count down maybe we re going get nokia 7 6 5 nokia8pic twitter com j15ipvoolg,-0.15555555555555559,0.2888888888888889,negative
25363,If you can't close YouTube while the music still plays on the iPhone 8 then I'm fucking it off and getting a Nokia 3310 mate.,86,13,3,2017,if you can t close youtube while music play iphone 8 then m fucking off getting nokia 3310 mate,-0.6,0.8,negative
25686,"But of course people think the battery tech of today is the same of their first Nokia phone so yeah, they say a lot of crap",30,3,1,2017,but course people battery tech today same their first nokia phone so yeah say lot crap,-0.18333333333333335,0.41944444444444445,negative
27610,Have Justin's candids lately been taken with a Nokia or,24,5,2,2017,have justin candids lately been taken with nokia or,-0.3,0.6,negative
27975,Appeared pink prototype of cancelled #Nokia Lauta RM-742 (2011) device with slide-out keyboard. Source: http://talk.maemo.org/showpost.php?p=1526728&postcount=50 … #MeeGopic.twitter.com/6MvIFUoYtX,51,24,4,2017,appeared pink prototype cancelled nokia lauta rm 742 2011 device with slide out keyboard source talk maemo org showpost php p 1526728 postcount 50 meegopic twitter com 6mvifuoytx,-0.1,0.3,negative
28593,Nostalgic Nokia 3310 makes much awaited comeback http://bit.ly/2so19Y4 ,21,2,0,2017,nostalgic nokia 3310 make much awaited comeback bit 2so19y4,-0.15,0.6,negative
29078,It's pretty crazy that they ported call of duty to the nokia n-gage. It's got 4-player multiplayer! pic.twitter.com/bYtTh4c7Cv,72,14,8,2018,pretty crazy that ported call duty nokia n gage got 4 player multiplayer pic twitter com bytth4c7cv,-0.175,0.95,negative
29536,what we are not gonna do in these comments is SHIT on Princess Nokia,105,1,0,2018,what we are not gonna do these comment shit princess nokia,-0.2,0.8,negative
30099,Yeah 30 million views reached! Mostly down to @Nokiamobile with my nokia 8 reaching 11 million!!! pic.twitter.com/vHMprPBE1e,22,3,3,2018,yeah 30 million view reached mostly down nokiamobile with my nokia 8 reaching 11 million pic twitter com vhmprpbe1e,-0.15555555555555559,0.2888888888888889,negative
30150,What will the Nokia 9 and iPhone X have in common? Price https://pocketnow.com/2018/07/24/nokia-9-price-rumors …,21,6,1,2018,what will nokia 9 iphone have common price pocketnow com 2018 07 24 nokia 9 price rumor,-0.3,0.5,negative
30306,Get the school and parents involved! Absolutely disgusting and as a minimum punishment these girls should not have social media or even phones. Nokia 3210 if its a must! #bullies,31,1,2,2018,get school parent involved absolutely disgusting a minimum punishment these girl should not have social medium or even phone nokia 3210 if it must bully,-0.48333333333333334,0.5333333333333333,negative
30357,"CP Q2 2018 data: In India, Nokia No. 3 in feature phones, but still not in top 5 in smartphones http://nokiamob.net/2018/07/24/cp-q2-2018-data-in-india-nokia-no-3-in-feature-phones-but-still-not-in-top-5-in-smartphones/ …pic.twitter.com/ci7lZN25F2",37,6,1,2018,cp q2 2018 data india nokia no 3 feature phone but not top 5 smartphones nokiamob net 2018 07 24 cp q2 2018 data india nokia no 3 feature phone but not top 5 smartphones pic twitter com ci7lzn25f2,-0.16666666666666666,0.3333333333333333,negative
30363,y’all think azealia and princess nokia go shopping for brujería chickens together,43,6,2,2018,y all azealia princess nokia shopping brujería chicken together,-0.6,0.95,negative
30539,"I m fairly disappointed with xiaomi..it shud have competed with nokia 7 plus.. 

1. but no earphone bundled
2. No 3.5mm jack
3. no micro sd slot
4. Lesser battery
5. Even that battery no QC3.0 bundled

That means its cutting costs by 2k to 3k above.. Nokia still a better brand !",45,1,4,2018,m fairly disappointed with xiaomi shud have competed with nokia 7 plus 1 but no earphone bundled 2 no 3 5mm jack 3 no micro sd slot 4 lesser battery 5 even that battery no qc3 0 bundled that mean it cutting cost by 2k 3k above nokia better brand,-0.19375,0.5729166666666666,negative
30872,"Why do lads think it’s mega to be swinging their Nokia Basher about and getting fucking Wods of cash out in a fucking takeaway like their mega. We get it, you sell drugs, it’s 2018!",23,8,0,2018,why do lad mega be swinging their nokia basher about getting fucking wods cash out fucking takeaway like their mega we get you sell drug 2018,-0.6,0.8,negative
32817,"Made someone go round me because I couldn't climb the step to go around her.
She expressed her disdain by ""accidentally"" smacking me in the face with her bag. Hard.
I don't know wtf was in there, but it felt like a brick. Not even a house brick. A Nokia brick.
#EverydayAbleismhttps://twitter.com/WheelsofSteer/status/1081080621382987776 …",33,2,11,2019,made someone round me because couldn t climb step around her she expressed her disdain by accidentally smacking me face with her bag hard don t know wtf wa there but felt like brick not even house brick nokia brick everydayableismhttps twitter com wheelsofsteer status 1081080621382987776,-0.33055555555555555,0.6472222222222223,negative
33108,POV: Comparing Apple to Nokia is borderline insane https://nokiamob.net/2019/01/04/pov-comparing-apple-to-nokia-is-borderline-insane/ …pic.twitter.com/NRYeUUFGFf,41,3,0,2019,pov comparing apple nokia borderline insane nokiamob net 2019 01 04 pov comparing apple nokia borderline insane pic twitter com nryeuufgff,-0.6666666666666666,0.6666666666666666,negative
33572,"naaah

Nokia killed itself by not innovating, being afraid of android and hiring Elop.",20,0,2,2018,naaah nokia killed itself by not innovating being afraid android hiring elop,-0.4,0.45,negative
34642,Honestly if iPhones weren’t so fragile and expensive I would throw it at walls SO often. I need a Nokia for when I’m mad so I can just launch it,35,5,1,2018,honestly if iphones weren t so fragile expensive would throw at wall so often need nokia when m mad so can just launch,-0.13125,0.7749999999999999,negative
34864,"Nokia 7 Plus performance review: Heavy Gaming, Browsing, & Multitasking hands-on https://nokiapoweruser.com/nokia-7-plus-performance-review-heavy-gaming-browsing-multitasking-hands-on/ …pic.twitter.com/l5e9Q0FrV2",38,3,0,2018,nokia 7 plus performance review heavy gaming browsing multitasking hand nokiapoweruser com nokia 7 plus performance review heavy gaming browsing multitasking hand pic twitter com l5e9q0frv2,-0.2,0.5,negative
34900,"Nokia 8 Sirocco performance review: Heavy Gaming, Browsing, & Multitasking hands-on https://nokiapoweruser.com/nokia-8-sirocco-performance-review-heavy-gaming-browsing-multitasking-hands-on/ …pic.twitter.com/NG4PF5Iuy1",23,1,0,2018,nokia 8 sirocco performance review heavy gaming browsing multitasking hand nokiapoweruser com nokia 8 sirocco performance review heavy gaming browsing multitasking hand pic twitter com ng4pf5iuy1,-0.2,0.5,negative
35467,[Deal] Nokia 3.1 Plus is down to ₹10499 in India https://nokiapoweruser.com/deal-nokia-3-1-plus-is-now-down-to-%e2%82%b910499-in-india/ …pic.twitter.com/e9GiaaBnSX,50,3,1,2018,deal nokia 3 1 plus down 10499 india nokiapoweruser com deal nokia 3 1 plus now down e2 82 b910499 india pic twitter com e9giaabnsx,-0.15555555555555559,0.2888888888888889,negative
35597,"TIM says it has completed 99% 5G coverage of San Marino. 
Coverage is provided by 8 macro sites with 3.5GHz antennas, and ""some"" with 26 GHz. ""Very shortly, 5G prime small cells will be installed"". Supplier = Nokia.

(San Marino is 61 sq km, pop 33,000 - Wikipedia)",25,10,1,2018,tim say ha completed 99 5g coverage san marino coverage provided by 8 macro site with 3 5ghz antenna some with 26 ghz very shortly 5g prime small cell will be installed supplier nokia san marino 61 sq km pop 33 000 wikipedia,-0.125,0.395,negative
35648,Dropped my phone and now have the black screen of death.. 2nd phone I've broken in the space of a month.. Nokia 3210 I need you back in my life,268,18,65,2018,dropped my phone now have black screen death 2nd phone ve broken space month nokia 3210 need you back my life,-0.14166666666666666,0.20833333333333334,negative
35913,Two unknown Nokia phones certified in Russia (TA-1087 and TA-1119) http://nokiamob.net/2018/07/05/two-unknown-nokia-phones-certified-in-russia-ta-1087-and-ta-1119/ …pic.twitter.com/5aWB7S7WWO,33,4,0,2018,two unknown nokia phone certified russia ta 1087 ta 1119 nokiamob net 2018 07 05 two unknown nokia phone certified russia ta 1087 ta 1119 pic twitter com 5awb7s7wwo,-0.06666666666666667,0.39999999999999997,negative
36986,Nokia's crazy 5-camera phone comes to the U.S. on March 3 https://trib.al/aBDdWrV pic.twitter.com/uS3VuRUkq6,24,13,1,2019,nokia crazy 5 camera phone come march 3 trib al abddwrv pic twitter com us3vurukq6,-0.6,0.9,negative
37211,i heard a princess nokia song for the 1st time yesterday.... isn't it just so fucked up how we can't unhear things,54,7,2,2018,heard princess nokia song 1st time yesterday isn t just so fucked up how we can t unhear thing,-0.6,0.7,negative
38097,"no, it's not. in the real version ariana says 'nokia minja'",22,0,0,2018,no not real version ariana say nokia minja,-0.1,0.30000000000000004,negative
38659,"Lenovo K-Series Back, Crazy Asus Deals, Moto G7, Nokia 7.1, Pie Update on Nokia, Mi TV - TTN#226
https://youtu.be/8oVLwv1KTAo ",166,43,30,2018,lenovo k series back crazy asus deal moto g7 nokia 7 1 pie update nokia mi tv ttn 226 youtu be 8ovlwv1ktao,-0.3,0.45,negative
39099,Nobody said nothing about you weak ass rap hoes PRINCESS NOKIA spoke about me & stated her opinion on colorism you bitches wanna feel important so bad,421,97,5,2018,nobody said nothing about you weak as rap hoe princess nokia spoke about me stated her opinion colorism you bitch wanna feel important so bad,-0.22499999999999995,0.7638888888888888,negative
39129,""" odd's that even thee "" 
Shot on : Nokia 8

A simple composition made interesting by using the simple rule of odd's with the sun hiding behind the clouds.

@Nokiamobile @nokia @NokianChetan @NokiamobBlog @NokiamobileIN @NokiaRevolution @nokianesia @CarlZeissIM  @carlzeisslensespic.twitter.com/S2difVWB6H",34,1,0,2018,odd that even thee shot nokia 8 simple composition made interesting by using simple rule odd with sun hiding behind cloud nokiamobile nokia nokianchetan nokiamobblog nokiamobilein nokiarevolution nokianesia carlzeissim carlzeisslensespic twitter com s2difvwb6h,-0.03888888888888888,0.40238095238095245,negative
39278,Shit! I dropped my Nokia,70,2,1,2018,shit dropped my nokia,-0.2,0.8,negative
39325,[Unseen Pic] @ParineetiChopra behind the scenes of her Nokia ad with @YianniTsapatoripic.twitter.com/qfPLZMoMUa,21,10,0,2018,unseen pic parineetichopra behind scene her nokia ad with yiannitsapatoripic twitter com qfplzmomua,-0.4,0.7,negative
40062,"@janerygaard of @nokia presents solution for healthy @5GCity with efficient #AI -enabled dynamic model for measuring air pollution, sensors connected to #5G mobile base stations. #EU5GConf #ehealthpic.twitter.com/qYLQv9MxCq",63,9,1,2019,janerygaard nokia present solution healthy 5gcity with efficient ai enabled dynamic model measuring air pollution sensor connected 5g mobile base station eu5gconf ehealthpic twitter com qylqv9mxcq,-0.07500000000000001,0.41666666666666663,negative
