,text,likes,retweets,replies,Year,lemmatized,polarity,subjectivity,polarity_text
1346,For those of you who couldn't get tickets to the Nokia Show...... Show #2 is  @ObservatoryOC… https://www.instagram.com/p/_4_RseGogX/ ,38,15,1,2015,those you who couldn t get ticket nokia show show 2 observatoryoc instagram com p _4_rsegogx,0.0,0.0,neutral
1614,"SESHOLLOWATERBOYZ Show 
Los Angeles 
Club Nokia, 
Jan. 30th Tickets : http://www.tinyurl.com/shwbla pic.twitter.com/716gJ27NMq",38,20,0,2015,seshollowaterboyz show los angeles club nokia jan 30th ticket tinyurl com shwbla pic twitter com 716gj27nmq,0.0,0.0,neutral
1869,"Just found a Nokia 5110 in my drawer from about 15 years ago. It still had two battery bars on it  pic.twitter.com/mMQpgoXMEi
#not80s",55,36,6,2015,just found nokia 5110 my drawer from about 15 year ago had two battery bar pic twitter com mmqpgoxmei not80s,0.0,0.0,neutral
1968,This month on #maketechhuman: What is tech doing to our humanity? http://trib.al/nyI1tNn  @Nokia pic.twitter.com/LnGc95B09E,113,66,2,2015,this month maketechhuman what tech doing our humanity trib al nyi1tnn nokia pic twitter com lngc95b09e,0.0,0.0,neutral
2304,You can see these screenshots. #WhatsApp #Mac #Windows #NativeClient #iOS #Android #WP #Blackberry #Symbian #Nokia pic.twitter.com/AKja58zf5C,44,32,5,2016,you can see these screenshots whatsapp mac window nativeclient io android wp blackberry symbian nokia pic twitter com akja58zf5c,0.0,0.0,neutral
4223,Why my iPhone 6 takin pics like its a Nokia 3310......... pic.twitter.com/etrhU3o6Dl,145,8,1,2016,why my iphone 6 takin pic like it nokia 3310 pic twitter com etrhu3o6dl,0.0,0.0,neutral
4498,SRKajol are unbeatable & unbreakableNo one can MAKE SRKajol apartEven a nokia can't break SRKajol#GoldenCouplepic.twitter.com/qwkXX3u03E,33,20,0,2016,srkajol are unbeatable unbreakableno one can make srkajol aparteven nokia can t break srkajol goldencouplepic twitter com qwkxx3u03e,0.0,0.0,neutral
4913,No-name phone + Nokia sticker = profits ! http://www.windowscentral.com/nokia-reaffirms-plans-get-back-smartphone-business …,25,17,5,2015,no name phone nokia sticker profit windowscentral com nokia reaffirms plan get back smartphone business,0.0,0.0,neutral
4951,Nokia reaffirms plans to get back into the smartphone business http://phon.es/1dqoe pic.twitter.com/SGfhQdj7g3,31,45,8,2015,nokia reaffirms plan get back into smartphone business phon e 1dqoe pic twitter com sgfhqdj7g3,0.0,0.0,neutral
5211,After Using Iphone 6s Plus.. Samsung Is Looking Like Nokia 3310 ~,20,12,4,2015,after using iphone 6 plus samsung looking like nokia 3310,0.0,0.0,neutral
5314,observatory...club nokia...palladium..greek theatre..hollywood bowl,63,20,4,2015,observatory club nokia palladium greek theatre hollywood bowl,0.0,0.0,neutral
5859,"AFROPUNK TV Episode 7: @CAKESDAKILLA and @princess_nokia ​
Watch —> http://bit.ly/1IRmpFv pic.twitter.com/S4Lu7bBcl7",22,13,0,2015,afropunk tv episode 7 cakesdakilla princess_nokia watch bit 1irmpfv pic twitter com s4lu7bbcl7,0.0,0.0,neutral
6271,#vanswarpedtour kickoff tonight! Club Nokia ,25,6,1,2015,vanswarpedtour kickoff tonight club nokia,0.0,0.0,neutral
6351,"Answering @KindaFunnyVids Tweets from the Quad. When I graduated 10 years ago, I had a Nokia brick phone. pic.twitter.com/eh3TDehyNb",82,5,10,2015,answering kindafunnyvids tweet from quad when graduated 10 year ago had nokia brick phone pic twitter com eh3tdehynb,0.0,0.0,neutral
6365,Cruising to the Nokia theater with my man @shaunlyman ...Warped Tour Kickoff party.  https://instagram.com/p/1MLt0-wcH7/ ,40,8,0,2015,cruising nokia theater with my man shaunlyman warped tour kickoff party instagram com p 1mlt0 wch7,0.0,0.0,neutral
7610,"“@kasim_nokia: ""@PoundnStulla: Fill all the holes for a bottom pic.twitter.com/FpOpTVByGD""”

When is it my turn? #rt #myturn #sandiegoliving",38,15,2,2015,kasim_nokia poundnstulla fill all hole bottom pic twitter com fpoptvbygd when my turn rt myturn sandiegoliving,0.0,0.0,neutral
7752,RT if you had a Nokia Cell Phone https://twitter.com/damnitstrue/status/412311454256480256/photo/1pic.twitter.com/pFWh3DJtmk ,66,23,1,2015,rt if you had nokia cell phone twitter com damnitstrue status 412311454256480256 photo 1pic twitter com pfwh3djtmk,0.0,0.0,neutral
8496,"Save the date: Nokia Networks webinar on ""Building the #5G future"", Dec 9 http://nokia.ly/1l7oarE  #NetworksPerformpic.twitter.com/hjV4OMzVWN",20,25,1,2015,save date nokia network webinar building 5g future dec 9 nokia 1l7oare networksperformpic twitter com hjv4omzvwn,0.0,0.125,neutral
9475,nokia boutta take over the world pic.twitter.com/p22uOUBKAu,23,17,0,2015,nokia boutta take over world pic twitter com p22uoubkau,0.0,0.0,neutral
9846,Nokia 3310 was introduced in September of 2000. pic.twitter.com/BusjVJsKMb,45,55,2,2015,nokia 3310 wa introduced september 2000 pic twitter com busjvjskmb,0.0,0.0,neutral
10869,Club nokia,38,11,3,2016,club nokia,0.0,0.0,neutral
11703,I'm gonna go buy a Nokia now. https://twitter.com/applevssamsung4/status/650399524423376896 …,60,14,0,2016,m gonna buy nokia now twitter com applevssamsung4 status 650399524423376896,0.0,0.0,neutral
11797,was this taken with a 1995 Nokia flip phone?,62,1,1,2016,wa this taken with 1995 nokia flip phone,0.0,0.0,neutral
12129,"You know times have changed when it's quiet during Ardaas at the Gurudwara and instead of the Nokia ringtone, a Baba's iPhone is poppin off",97,69,0,2016,you know time have changed when quiet during ardaas at gurudwara instead nokia ringtone baba iphone poppin off,0.0,0.3333333333333333,neutral
12464,Got a picture with the CHAMP himself @kyrieirving ! Duke family!!! @ ESPY Awards @ Nokia Theatre… https://www.instagram.com/p/BH0bA24jhER/ ,258,76,4,2016,got picture with champ himself kyrieirving duke family espy award nokia theatre instagram com p bh0ba24jher,0.0,0.0,neutral
12532,Why our collaboration with @HUS_uutisoi matters to patients and physicians - @NokiaTech CTO @gjouret. http://bit.ly/29wOc3V  #medtech,38,22,0,2016,why our collaboration with hus_uutisoi matter patient physician nokiatech cto gjouret bit 29woc3v medtech,0.0,0.0,neutral
12689,Lord Bell ( ancient former aide to Thatcher) talking to @BBC news..his ancient Nokia phone rings. Haven't heard that ring tone for decades:),27,1,11,2016,lord bell ancient former aide thatcher talking bbc news his ancient nokia phone ring haven t heard that ring tone decade,0.0,0.0,neutral
12769,"Team valor: drinks almond milk. Exfoliates daily. A child of God. iPhone.
Team mystic: sweaty. Does not shower. Android
Team instinct: Nokia",47,20,2,2016,team valor drink almond milk exfoliates daily child god iphone team mystic sweaty doe not shower android team instinct nokia,0.0,0.0,neutral
13080,the doctor called in this guy named samsung and my mom goes are we nokia and she won't stop laughing at herself,20,0,3,2016,doctor called this guy named samsung my mom go are we nokia she won t stop laughing at herself,0.0,0.0,neutral
13098,"How will #VR change the way we experience ""being there"" in a story? @elishagreenwell weighed-in at #CannesLions. http://bit.ly/28LR4ZU ",58,46,0,2016,how will change way we experience being there story elishagreenwell weighed at canneslions bit 28lr4zu,0.0,0.0,neutral
13194,I never had a Nokia phone back in the day.,35,16,15,2016,never had nokia phone back day,0.0,0.0,neutral
14114,"#FiftySetNews Monday May 2, film scenes of Charlie Tango crashing   at Nokia Building.

Pics @WhatsFilmingpic.twitter.com/rGQftxQCWB",43,12,0,2016,fiftysetnews monday may 2 film scene charlie tango crashing at nokia building pic whatsfilmingpic twitter com rgqftxqcwb,0.0,0.0,neutral
15169,"that's like saying the iPhone is ""Nokia technology""",158,6,2,2017,that like iphone nokia technology,0.0,0.0,neutral
15251,I want princess Nokia to punch me in the face,169,75,1,2017,want princess nokia punch me face,0.0,0.0,neutral
15276,"Just get a nokia...

the sidewalk will shatter instead #Kappa",34,3,1,2017,just get nokia sidewalk will shatter instead kappa,0.0,0.0,neutral
15316,"Dizzee Rascal, Princess Nokia and DJ Shadow announced for Outlook Festival - Mixmag https://apple.news/AjMhe1rnrS_68uVL71zYlNg …",23,1,0,2017,dizzee rascal princess nokia dj shadow announced outlook festival mixmag apple news ajmhe1rnrs_68uvl71zylng,0.0,0.0,neutral
15483,".@nokia P1 images surface online, hint at all-metal body http://bit.ly/2knj4KO  via @gadgetsnowpic.twitter.com/CLIudpIvqv",70,20,3,2017,nokia p1 image surface online hint at all metal body bit 2knj4ko gadgetsnowpic twitter com cliudpivqv,0.0,0.0,neutral
15819,"While Christian has a 25,000$ phone Ana still has her nokia flip phone ",26,18,0,2016,while christian ha 25 000 phone ana ha her nokia flip phone,0.0,0.0,neutral
16358,"Nokia smartphones are coming in 2017, the company confirms http://dlvr.it/MhbfGB ",26,25,4,2016,nokia smartphones are coming 2017 company confirms dlvr mhbfgb,0.0,0.0,neutral
16501,"Our distinguished alumnus, Class of 1989 (E&C), Mr Rajeev Suri, President & CEO, Nokia is in Manipal now. Had dinner with him. pic.twitter.com/8co8RTQhCJ",28,14,0,2016,our distinguished alumnus class 1989 c mr rajeev suri president ceo nokia manipal now had dinner with him pic twitter com 8co8rtqhcj,0.0,0.0,neutral
16847,It’s a scale. It’s a heart rate monitor. It’s… @Withings #BodyCardio.pic.twitter.com/hJ9PJY46pw,66,23,1,2016,scale heart rate monitor withings bodycardio pic twitter com hj9pjy46pw,0.0,0.0,neutral
